payment_id,company_id,invoice_id,amount,status,payment_method,bank_reference,payment_date
PAY-00302,COMP-02,INV-00318,291559.31,Pending,Cheque,REF956122842,2026-03-17
PAY-00303,COMP-02,INV-00319,389684.48,Completed,RTGS,REF930106536,2025-08-07
PAY-00304,COMP-01,INV-00320,211861.48,Failed,Bank Transfer,REF876580135,2025-01-16
PAY-00305,COMP-04,INV-00321,352217.93,Completed,Cheque,REF636468941,2025-02-07
PAY-00306,COMP-05,INV-00322,164219.02,Failed,Bank Transfer,REF121393339,2025-08-19
PAY-00307,COMP-01,INV-00323,40061.73,Completed,RTGS,REF328519170,2025-05-26
PAY-00308,COMP-05,INV-00324,54108.51,Pending,Cheque,REF466933562,2025-01-22
PAY-00309,COMP-04,INV-00325,7902.95,Completed,UPI,REF416693036,2025-02-07
PAY-00310,COMP-04,INV-00326,21350.06,Pending,Bank Transfer,REF494366048,2025-07-30
PAY-00311,COMP-04,INV-00327,25949.61,Completed,RTGS,REF292779607,2025-02-23
PAY-00312,COMP-04,INV-00327,19462.95,Completed,Bank Transfer,REF836860533,2025-11-21
PAY-00313,COMP-02,INV-00328,17780.41,Completed,RTGS,REF447256343,2026-02-26
PAY-00314,COMP-05,INV-00329,6305.64,Refunded,RTGS,REF509099576,2026-04-28
PAY-00315,COMP-01,INV-00330,7052.97,Refunded,UPI,REF231865937,2026-02-01
PAY-00316,COMP-02,INV-00331,662.99,Completed,UPI,REF387624440,2025-03-28
PAY-00317,COMP-02,INV-00332,14955.29,Pending,Cheque,REF540416750,2025-12-02
PAY-00318,COMP-01,INV-00333,39538.0,Failed,UPI,REF716648732,2025-11-23
PAY-00319,COMP-04,INV-00334,169.69,Pending,NEFT,REF736740807,2025-06-08
PAY-00320,COMP-01,INV-00335,700.83,Completed,UPI,REF354686458,2025-08-06
PAY-00321,COMP-05,INV-00336,7888.47,Completed,UPI,REF454503077,2025-07-23
