decision_id,company_id,invoice_id,recommendation,reasoning,confidence_score,decided_by,timestamp
DEC-00195,COMP-03,INV-00259,Reject,Invoice amount exceeds remaining Finance budget allocation.,0.68,system_ai,2026-05-12 17:09:00
DEC-00196,COMP-04,INV-00285,Flag for Review,Amount deviates 44% from vendor's historical average invoice value.,0.8,system_ai,2026-03-02 12:20:00
DEC-00197,COMP-05,INV-00109,Approve,Invoice matches purchase order and vendor risk profile is Low; amount within department budget.,0.66,system_ai,2025-10-13 00:00:00
DEC-00198,COMP-03,INV-00214,Approve,Amount consistent with historical spend for Operations; auto-approved.,0.68,system_ai,2025-04-30 22:16:00
DEC-00199,COMP-01,INV-00195,Approve,Invoice matches purchase order and vendor risk profile is Low; amount within department budget.,0.62,system_ai,2026-04-26 16:11:00
DEC-00200,COMP-01,INV-00178,Approve,Amount consistent with historical spend for IT; auto-approved.,0.83,system_ai,2026-01-28 14:32:00
DEC-00201,COMP-05,INV-00100,Escalate,Amount exceeds auto-approval threshold and requires finance manager sign-off.,0.6,system_ai,2025-08-11 08:42:00
DEC-00202,COMP-05,INV-00271,Escalate,Unusual spend pattern detected across multiple invoices from this vendor this month.,0.89,system_ai,2025-02-06 10:32:00
DEC-00203,COMP-04,INV-00258,Flag for Review,Amount deviates 78% from vendor's historical average invoice value.,0.81,user_override,2025-05-17 22:22:00
DEC-00204,COMP-04,INV-00311,Reject,Duplicate invoice number detected for the same vendor and amount.,0.93,user_override,2025-05-06 23:08:00
DEC-00205,COMP-04,INV-00025,Approve,Recurring vendor with consistent billing pattern; no anomalies detected.,0.66,system_ai,2025-01-30 22:31:00
DEC-00206,COMP-05,INV-00137,Approve,Recurring vendor with consistent billing pattern; no anomalies detected.,0.76,system_ai,2026-03-26 05:39:00
DEC-00207,COMP-04,INV-00179,Approve,Invoice matches purchase order and vendor risk profile is Medium; amount within department budget.,0.65,system_ai,2026-03-29 06:29:00
DEC-00208,COMP-01,INV-00067,Flag for Review,Amount deviates 73% from vendor's historical average invoice value.,0.72,user_override,2025-06-23 12:29:00
DEC-00209,COMP-02,INV-00242,Flag for Review,Vendor risk profile is High; manual verification recommended before payment.,0.83,system_ai,2025-10-20 22:57:00
DEC-00210,COMP-01,INV-00063,Approve,Recurring vendor with consistent billing pattern; no anomalies detected.,0.61,system_ai,2025-12-11 04:19:00
DEC-00211,COMP-04,INV-00256,Flag for Review,Invoice date falls outside normal billing cycle for this vendor.,0.81,system_ai,2026-05-16 05:05:00
DEC-00212,COMP-05,INV-00157,Flag for Review,Amount deviates 47% from vendor's historical average invoice value.,0.67,user_override,2025-10-24 17:36:00
DEC-00213,COMP-04,INV-00235,Reject,Duplicate invoice number detected for the same vendor and amount.,0.77,system_ai,2025-01-22 03:38:00
DEC-00214,COMP-02,INV-00066,Approve,Recurring vendor with consistent billing pattern; no anomalies detected.,0.58,system_ai,2025-08-19 13:27:00
DEC-00215,COMP-05,INV-00042,Approve,Recurring vendor with consistent billing pattern; no anomalies detected.,0.88,system_ai,2026-06-20 15:14:00
DEC-00216,COMP-04,INV-00202,Flag for Review,Amount deviates 24% from vendor's historical average invoice value.,0.79,system_ai,2026-04-02 01:00:00
DEC-00217,COMP-05,INV-00148,Approve,Invoice matches purchase order and vendor risk profile is High; amount within department budget.,0.7,system_ai,2025-08-16 15:31:00
DEC-00218,COMP-04,INV-00286,Escalate,Unusual spend pattern detected across multiple invoices from this vendor this month.,0.7,system_ai,2026-03-01 22:44:00
DEC-00219,COMP-01,INV-00278,Flag for Review,Amount deviates 56% from vendor's historical average invoice value.,0.79,user_override,2025-09-19 21:57:00
DEC-00220,COMP-03,INV-00029,Approve,Invoice matches purchase order and vendor risk profile is Low; amount within department budget.,0.72,system_ai,2026-01-30 14:57:00
DEC-00221,COMP-02,INV-00146,Approve,Amount consistent with historical spend for R&D; auto-approved.,0.65,system_ai,2026-02-12 12:44:00
DEC-00222,COMP-02,INV-00231,Hold - Duplicate Suspected,Line items closely match an invoice processed within the last 14 days.,0.92,system_ai,2025-10-06 18:55:00
DEC-00223,COMP-04,INV-00123,Approve,Invoice matches purchase order and vendor risk profile is Low; amount within department budget.,0.78,system_ai,2025-10-27 04:59:00
DEC-00224,COMP-01,INV-00143,Approve,Amount consistent with historical spend for Operations; auto-approved.,0.79,system_ai,2025-06-05 04:54:00
DEC-00225,COMP-04,INV-00084,Approve,Amount consistent with historical spend for Finance; auto-approved.,0.89,user_override,2025-06-24 16:55:00
DEC-00226,COMP-03,INV-00089,Escalate,Amount exceeds auto-approval threshold and requires finance manager sign-off.,0.82,system_ai,2026-04-13 06:26:00
DEC-00227,COMP-01,INV-00251,Escalate,Unusual spend pattern detected across multiple invoices from this vendor this month.,0.91,system_ai,2025-03-13 02:47:00
DEC-00228,COMP-05,INV-00200,Approve,Recurring vendor with consistent billing pattern; no anomalies detected.,0.85,system_ai,2025-03-12 10:34:00
DEC-00229,COMP-04,INV-00023,Approve,Amount consistent with historical spend for Finance; auto-approved.,0.83,system_ai,2025-06-18 06:25:00
DEC-00230,COMP-05,INV-00122,Flag for Review,Vendor risk profile is Medium; manual verification recommended before payment.,0.69,system_ai,2026-05-05 14:55:00
DEC-00231,COMP-02,INV-00070,Approve,Recurring vendor with consistent billing pattern; no anomalies detected.,0.65,system_ai,2026-06-12 18:47:00
DEC-00232,COMP-03,INV-00141,Approve,Recurring vendor with consistent billing pattern; no anomalies detected.,0.86,system_ai,2025-07-12 17:20:00
DEC-00233,COMP-03,INV-00117,Flag for Review,Invoice date falls outside normal billing cycle for this vendor.,0.74,system_ai,2026-06-14 20:52:00
DEC-00234,COMP-03,INV-00061,Approve,Recurring vendor with consistent billing pattern; no anomalies detected.,0.65,system_ai,2025-01-26 18:00:00
DEC-00235,COMP-05,INV-00329,Hold - Duplicate Suspected,Same amount and due date as an existing pending invoice from this vendor.,0.93,system_ai,2025-05-27 05:35:00
DEC-00236,COMP-04,INV-00036,Approve,Recurring vendor with consistent billing pattern; no anomalies detected.,0.89,system_ai,2026-01-23 09:23:00
DEC-00237,COMP-04,INV-00028,Hold - Duplicate Suspected,Same amount and due date as an existing pending invoice from this vendor.,0.8,system_ai,2025-08-20 00:04:00
DEC-00238,COMP-02,INV-00120,Approve,Recurring vendor with consistent billing pattern; no anomalies detected.,0.84,system_ai,2025-03-11 00:50:00
DEC-00239,COMP-02,INV-00220,Flag for Review,Amount deviates 39% from vendor's historical average invoice value.,0.79,system_ai,2025-06-29 04:19:00
DEC-00240,COMP-05,INV-00233,Escalate,Amount exceeds auto-approval threshold and requires finance manager sign-off.,0.72,system_ai,2026-05-27 13:16:00
DEC-00241,COMP-03,INV-00211,Flag for Review,Vendor risk profile is Low; manual verification recommended before payment.,0.66,system_ai,2026-03-02 06:03:00
DEC-00242,COMP-05,INV-00097,Flag for Review,Vendor risk profile is Low; manual verification recommended before payment.,0.73,system_ai,2026-01-28 10:02:00
DEC-00243,COMP-05,INV-00324,Flag for Review,Amount deviates 78% from vendor's historical average invoice value.,0.79,system_ai,2025-08-25 11:16:00
DEC-00244,COMP-05,INV-00322,Flag for Review,Invoice date falls outside normal billing cycle for this vendor.,0.73,system_ai,2025-05-07 09:20:00
DEC-00245,COMP-01,INV-00333,Hold - Duplicate Suspected,Line items closely match an invoice processed within the last 14 days.,0.93,system_ai,2026-03-13 10:40:00
DEC-00246,COMP-01,INV-00132,Approve,Invoice matches purchase order and vendor risk profile is Low; amount within department budget.,0.68,system_ai,2026-06-09 15:16:00
DEC-00247,COMP-04,INV-00197,Escalate,Unusual spend pattern detected across multiple invoices from this vendor this month.,0.68,system_ai,2026-04-03 09:06:00
DEC-00248,COMP-05,INV-00250,Flag for Review,Vendor risk profile is Low; manual verification recommended before payment.,0.76,system_ai,2025-05-20 21:53:00
DEC-00249,COMP-01,INV-00282,Hold - Duplicate Suspected,Same amount and due date as an existing pending invoice from this vendor.,0.77,user_override,2026-01-15 21:53:00
DEC-00250,COMP-02,INV-00152,Hold - Duplicate Suspected,Line items closely match an invoice processed within the last 14 days.,0.86,system_ai,2025-11-02 14:09:00
DEC-00251,COMP-02,INV-00177,Approve,Recurring vendor with consistent billing pattern; no anomalies detected.,0.85,system_ai,2025-04-16 05:24:00
DEC-00252,COMP-04,INV-00206,Approve,Invoice matches purchase order and vendor risk profile is Low; amount within department budget.,0.89,system_ai,2025-05-04 22:19:00
DEC-00253,COMP-04,INV-00099,Approve,Invoice matches purchase order and vendor risk profile is Low; amount within department budget.,0.77,system_ai,2026-01-09 22:25:00
DEC-00254,COMP-05,INV-00047,Flag for Review,Amount deviates 34% from vendor's historical average invoice value.,0.72,user_override,2025-09-13 14:46:00
DEC-00255,COMP-04,INV-00327,Flag for Review,Invoice date falls outside normal billing cycle for this vendor.,0.7,system_ai,2026-04-13 15:29:00
DEC-00256,COMP-04,INV-00008,Flag for Review,Vendor risk profile is Low; manual verification recommended before payment.,0.83,system_ai,2025-03-05 05:38:00
DEC-00257,COMP-04,INV-00217,Hold - Duplicate Suspected,Same amount and due date as an existing pending invoice from this vendor.,0.87,system_ai,2025-11-22 22:37:00
DEC-00258,COMP-01,INV-00129,Flag for Review,Vendor risk profile is Low; manual verification recommended before payment.,0.56,system_ai,2025-12-17 15:04:00
DEC-00259,COMP-05,INV-00308,Escalate,Amount exceeds auto-approval threshold and requires finance manager sign-off.,0.71,system_ai,2025-12-05 19:24:00
DEC-00260,COMP-05,INV-00049,Approve,Recurring vendor with consistent billing pattern; no anomalies detected.,0.63,system_ai,2025-06-28 17:41:00
DEC-00261,COMP-01,INV-00281,Flag for Review,Invoice date falls outside normal billing cycle for this vendor.,0.75,system_ai,2026-01-15 09:37:00
DEC-00262,COMP-01,INV-00288,Reject,Invoice amount exceeds remaining Customer Success budget allocation.,0.79,user_override,2026-06-28 06:19:00
DEC-00263,COMP-04,INV-00224,Approve,Invoice matches purchase order and vendor risk profile is Low; amount within department budget.,0.59,system_ai,2025-01-16 16:47:00
DEC-00264,COMP-05,INV-00046,Approve,Amount consistent with historical spend for HR; auto-approved.,0.67,system_ai,2026-03-14 06:20:00
DEC-00265,COMP-03,INV-00150,Approve,Invoice matches purchase order and vendor risk profile is Low; amount within department budget.,0.89,system_ai,2026-01-18 05:46:00
DEC-00266,COMP-01,INV-00290,Hold - Duplicate Suspected,Same amount and due date as an existing pending invoice from this vendor.,0.85,user_override,2024-07-04 02:45:00
DEC-00267,COMP-01,INV-00010,Approve,Invoice matches purchase order and vendor risk profile is Medium; amount within department budget.,0.74,system_ai,2025-04-09 06:13:00
DEC-00268,COMP-01,INV-00065,Approve,Amount consistent with historical spend for HR; auto-approved.,0.72,system_ai,2026-06-03 18:34:00
DEC-00269,COMP-02,INV-00328,Reject,Vendor flagged as Low risk with prior fraud indicators.,0.9,system_ai,2025-08-08 04:16:00
DEC-00270,COMP-04,INV-00033,Approve,Amount consistent with historical spend for Sales; auto-approved.,0.63,system_ai,2026-05-11 17:19:00
DEC-00271,COMP-02,INV-00115,Approve,Invoice matches purchase order and vendor risk profile is Low; amount within department budget.,0.83,system_ai,2025-05-12 20:55:00
DEC-00272,COMP-02,INV-00331,Reject,Vendor flagged as Low risk with prior fraud indicators.,0.69,system_ai,2025-09-11 00:10:00
DEC-00273,COMP-03,INV-00012,Approve,Amount consistent with historical spend for Operations; auto-approved.,0.63,system_ai,2025-03-24 02:52:00
DEC-00274,COMP-02,INV-00207,Approve,Amount consistent with historical spend for Finance; auto-approved.,0.86,system_ai,2025-11-26 09:31:00
DEC-00275,COMP-01,INV-00335,Reject,Invoice amount exceeds remaining Marketing budget allocation.,0.83,system_ai,2025-05-22 05:59:00
DEC-00276,COMP-01,INV-00266,Flag for Review,Amount deviates 77% from vendor's historical average invoice value.,0.76,system_ai,2026-01-12 23:10:00
DEC-00277,COMP-02,INV-00125,Flag for Review,Amount deviates 82% from vendor's historical average invoice value.,0.58,system_ai,2025-10-08 10:18:00
DEC-00278,COMP-03,INV-00105,Approve,Recurring vendor with consistent billing pattern; no anomalies detected.,0.71,system_ai,2026-05-14 18:05:00
DEC-00279,COMP-04,INV-00027,Approve,Amount consistent with historical spend for HR; auto-approved.,0.72,system_ai,2025-12-11 23:19:00
DEC-00280,COMP-02,INV-00032,Approve,Invoice matches purchase order and vendor risk profile is Low; amount within department budget.,0.8,system_ai,2025-05-25 05:42:00
DEC-00281,COMP-05,INV-00154,Approve,Recurring vendor with consistent billing pattern; no anomalies detected.,0.68,system_ai,2025-10-24 09:33:00
DEC-00282,COMP-04,INV-00306,Flag for Review,Vendor risk profile is High; manual verification recommended before payment.,0.82,system_ai,2025-08-10 22:04:00
DEC-00283,COMP-04,INV-00245,Reject,Vendor flagged as Low risk with prior fraud indicators.,0.94,system_ai,2025-08-15 06:41:00
DEC-00284,COMP-01,INV-00110,Approve,Amount consistent with historical spend for Customer Success; auto-approved.,0.64,system_ai,2026-05-07 01:14:00
DEC-00285,COMP-03,INV-00077,Approve,Invoice matches purchase order and vendor risk profile is Low; amount within department budget.,0.63,system_ai,2025-06-09 22:04:00
DEC-00286,COMP-05,INV-00312,Escalate,Amount exceeds auto-approval threshold and requires finance manager sign-off.,0.8,system_ai,2025-04-12 20:59:00
DEC-00287,COMP-05,INV-00216,Approve,Recurring vendor with consistent billing pattern; no anomalies detected.,0.69,system_ai,2025-04-06 10:29:00
DEC-00288,COMP-01,INV-00068,Approve,Invoice matches purchase order and vendor risk profile is Medium; amount within department budget.,0.71,system_ai,2026-04-16 21:19:00
DEC-00289,COMP-05,INV-00160,Approve,Recurring vendor with consistent billing pattern; no anomalies detected.,0.81,system_ai,2026-06-27 10:12:00
DEC-00290,COMP-05,INV-00167,Approve,Amount consistent with historical spend for Engineering; auto-approved.,0.79,system_ai,2025-08-01 18:01:00
DEC-00291,COMP-03,INV-00193,Approve,Recurring vendor with consistent billing pattern; no anomalies detected.,0.56,system_ai,2025-09-04 12:43:00
DEC-00292,COMP-03,INV-00264,Hold - Duplicate Suspected,Same amount and due date as an existing pending invoice from this vendor.,0.91,system_ai,2025-03-25 10:22:00
DEC-00293,COMP-03,INV-00022,Approve,Invoice matches purchase order and vendor risk profile is Low; amount within department budget.,0.64,system_ai,2025-08-09 00:55:00
DEC-00294,COMP-02,INV-00297,Flag for Review,Amount deviates 59% from vendor's historical average invoice value.,0.91,system_ai,2025-03-29 04:29:00
DEC-00295,COMP-02,INV-00209,Approve,Amount consistent with historical spend for Finance; auto-approved.,0.71,system_ai,2026-06-12 04:06:00
DEC-00296,COMP-05,INV-00075,Flag for Review,Invoice date falls outside normal billing cycle for this vendor.,0.67,system_ai,2025-03-30 19:42:00
DEC-00297,COMP-02,INV-00304,Reject,Vendor flagged as Low risk with prior fraud indicators.,0.89,system_ai,2025-04-18 14:18:00
DEC-00298,COMP-02,INV-00232,Reject,Vendor flagged as High risk with prior fraud indicators.,0.71,system_ai,2025-10-08 18:11:00
DEC-00299,COMP-04,INV-00051,Flag for Review,Invoice date falls outside normal billing cycle for this vendor.,0.86,system_ai,2025-08-23 06:13:00
DEC-00300,COMP-02,INV-00332,Reject,Duplicate invoice number detected for the same vendor and amount.,0.81,system_ai,2025-11-03 07:57:00
